,codegen-units,embed-bitcode,opt-level,force-frame-pointers,force-unwind-tables,linker-flavor,lto,no-vectorize-loops,no-vectorize-slp,overflow-checks,target-cpu,relocation-model,panic,compile-time-s,run-time-s,binary-size-mb,is_pareto,class
348,1,1,-1,-1,0,0,-1,-1,0,0,-1,1,-1,41.95571608102182,26.133760403026827,130,False,non-pareto
349,1,1,1,1,-1,-1,-1,-1,-1,1,0,1,-1,82.59370514098555,12.736318841052707,132,False,non-pareto
350,5,-1,-1,-1,0,0,-1,-1,-1,1,-1,1,0,41.170803703018464,24.93743116297992,218,True,pareto
351,2,0,0,1,-1,0,-1,-1,-1,0,0,1,-1,40.74666611501016,25.988401693000924,150,False,non-pareto
352,5,0,-1,1,0,0,-1,-1,0,0,-1,1,-1,44.792703075974714,25.616751358029433,222,False,non-pareto
353,6,1,-1,0,0,0,-1,-1,-1,0,-1,1,-1,43.82316762098344,28.276147927041166,222,False,non-pareto
354,4,0,-1,1,0,0,-1,-1,-1,0,0,1,-1,45.138343340018764,25.81896298698848,208,False,non-pareto
355,4,-1,-1,1,0,-1,-1,-1,0,-1,-1,1,-1,42.738581652985886,26.063545159006026,208,False,non-pareto
356,3,1,0,-1,0,0,-1,-1,-1,0,0,1,-1,40.44604548800271,25.94234565400984,165,False,non-pareto
357,1,1,0,1,0,0,-1,-1,-1,0,0,1,-1,41.88718811899889,26.385176943033002,130,False,non-pareto
358,4,0,-1,1,0,0,-1,-1,-1,-1,-1,1,-1,44.14574084401829,25.945474397041835,208,False,non-pareto
368,2,0,-1,1,1,0,-1,-1,-1,-1,0,1,0,38.583499466010835,25.454200989974197,144,True,pareto
413,4,0,0,0,0,0,1,0,0,1,-1,-1,0,42.85153397900285,27.937551377981436,204,False,non-pareto
416,4,0,-1,1,-1,-1,1,0,0,-1,0,1,-1,44.245962733984925,25.70168488001218,208,False,non-pareto
459,6,-1,-1,1,1,-1,1,-1,0,1,0,1,0,41.798438784026075,25.337582823005505,210,False,non-pareto
570,5,-1,-1,1,1,-1,1,-1,0,0,-1,1,0,41.498749439022504,25.269381550024264,210,False,non-pareto
580,1,-1,-1,-1,1,0,1,0,0,-1,-1,1,0,39.79878459102474,25.607595170033164,126,True,pareto
592,6,0,-1,1,1,0,1,-1,-1,0,0,1,0,43.41450380999595,25.355502640013583,210,False,non-pareto
617,1,1,0,0,0,0,-1,-1,0,1,-1,-1,1,42.05670652195113,28.584530896041542,129,False,non-pareto
637,6,0,-1,0,1,0,1,0,0,1,0,-1,0,43.23438401496969,27.58102931897156,210,False,non-pareto
659,2,1,2,-1,1,0,-1,-1,0,0,-1,-1,0,99.09550046903314,4.588859262992628,201,False,non-pareto
677,5,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,0,41.65794010303216,25.12840754899662,210,False,non-pareto
684,0,1,0,0,0,-1,-1,-1,0,0,0,-1,1,47.42486034700414,28.953650194976944,124,False,non-pareto
690,4,0,-1,1,1,-1,1,-1,-1,-1,-1,1,0,42.81571927602636,25.401452574995346,199,False,non-pareto
704,6,1,-1,1,-1,-1,1,-1,0,1,0,1,-1,43.425457240024116,26.139125420013443,221,False,non-pareto
706,1,1,0,1,1,-1,1,-1,0,-1,0,1,0,39.807819003995974,25.67912649200298,126,True,pareto
707,4,-1,0,1,-1,0,1,-1,0,1,0,1,0,41.11405478604138,25.332933973986655,199,False,non-pareto
711,3,0,0,1,-1,-1,1,-1,-1,1,-1,1,-1,41.773109941976145,25.625995273992885,164,False,non-pareto
712,5,-1,-1,1,0,-1,1,-1,0,0,-1,1,1,43.87918488297146,25.648073105025105,222,False,non-pareto
713,3,0,0,1,0,-1,1,-1,-1,0,0,1,0,39.75507157598622,25.682681353995577,161,False,non-pareto
714,4,1,0,0,0,0,-1,0,-1,0,-1,-1,1,42.863174144993536,28.093442904006224,208,False,non-pareto
715,-1,0,0,1,1,0,1,-1,-1,1,-1,1,0,39.956243762979284,25.182255343010183,157,False,non-pareto
717,-1,1,0,-1,0,-1,-1,-1,-1,1,-1,-1,1,40.13746080495184,25.583512366982177,164,False,non-pareto
723,0,0,0,1,1,0,1,-1,0,1,-1,1,0,44.03903869801434,25.603080175002106,119,True,pareto
725,5,-1,0,1,-1,-1,1,-1,0,-1,0,1,1,43.68301806395175,25.810712133999914,222,False,non-pareto
726,3,-1,0,1,0,-1,1,-1,-1,0,0,1,0,38.553046338958666,25.810562985017896,161,False,non-pareto
729,4,1,-1,-1,0,0,-1,-1,-1,0,-1,-1,1,42.6773262200295,25.884470879973378,208,False,non-pareto
730,3,0,0,1,-1,-1,1,0,0,-1,-1,1,1,41.19082994700875,26.022905068995897,165,False,non-pareto
731,3,-1,0,1,-1,-1,1,-1,-1,0,-1,1,-1,40.87283771095099,25.899330727988854,165,False,non-pareto
732,0,-1,0,1,1,-1,1,-1,-1,-1,0,1,0,42.48540171899367,25.418109477031976,120,True,pareto
734,3,-1,-1,0,-1,0,1,-1,-1,0,-1,-1,0,38.673302078968845,27.93931468500523,158,False,non-pareto
738,6,-1,0,1,-1,-1,1,-1,0,-1,-1,1,0,41.62620578799397,25.08926599100232,210,False,non-pareto
742,0,-1,0,1,1,-1,1,-1,0,-1,0,1,0,43.190141951025,25.65108172100736,120,True,pareto
743,5,1,-1,1,0,0,-1,-1,-1,-1,0,-1,1,43.76566732302308,25.75660009396961,222,False,non-pareto
744,2,1,-1,1,1,0,1,-1,-1,-1,0,1,0,38.083198106032796,25.476630895980634,144,True,pareto
745,-1,1,-1,1,0,-1,1,-1,-1,-1,0,1,0,38.75610063504428,25.745759690005798,161,False,non-pareto
748,3,-1,0,1,-1,-1,1,0,0,1,0,1,0,37.995975691010244,26.19496542494744,157,False,non-pareto
751,5,1,-1,-1,0,0,-1,0,-1,-1,0,-1,1,43.80352314497577,25.854973354027607,222,False,non-pareto
753,3,-1,0,1,-1,-1,1,0,-1,0,0,1,1,40.01271790196188,25.908563308010343,165,False,non-pareto
757,0,0,0,1,1,0,1,-1,-1,-1,-1,1,0,44.21612041303888,25.81211872404674,120,False,non-pareto
759,0,-1,-1,1,-1,-1,1,-1,0,1,-1,1,1,46.70399487495888,25.969412551028654,123,False,non-pareto
765,-1,-1,0,1,0,-1,1,-1,-1,1,0,1,1,39.82290842302609,26.03270086500561,164,False,non-pareto
766,1,1,-1,-1,0,0,-1,0,-1,0,-1,-1,1,42.046531731961295,26.232573851011693,130,False,non-pareto
767,-1,1,0,1,0,-1,-1,0,-1,0,0,-1,1,40.0909580179723,26.04477117001079,165,False,non-pareto
772,-1,-1,-1,1,1,-1,1,0,0,1,-1,1,0,38.34288233803818,25.36575732502388,157,False,non-pareto
779,-1,-1,-1,1,1,-1,1,0,0,-1,0,1,0,38.65912182297325,25.710621399979573,158,False,non-pareto
781,1,1,0,1,1,-1,1,0,-1,-1,-1,1,0,39.701413366012275,25.638846527028363,126,True,pareto
782,1,1,-1,1,0,-1,1,-1,0,0,-1,1,0,40.08413642999949,25.74095936503727,126,True,pareto
784,5,-1,0,1,0,-1,1,0,-1,1,0,1,-1,43.40877578302752,26.22132536303252,221,False,non-pareto
786,1,-1,-1,1,0,-1,1,-1,-1,1,-1,1,-1,41.76118274201872,26.885397374047898,130,False,non-pareto
787,2,1,3,0,-1,-1,1,-1,-1,1,-1,1,1,81.28522761998465,4.335112842032686,180,False,non-pareto
788,2,-1,-1,1,1,-1,1,0,-1,0,0,1,0,37.94644689199049,25.667808292026166,144,True,pareto
794,4,1,0,-1,0,0,-1,-1,-1,0,-1,-1,1,42.82421139499638,26.170841068029404,208,False,non-pareto
795,1,0,-1,1,1,0,1,-1,0,0,0,1,0,41.143566446960904,25.581129727012012,126,True,pareto
796,2,1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,1,39.745415059966035,26.093428255000617,150,False,non-pareto
797,0,0,-1,1,-1,0,-1,0,0,-1,-1,-1,0,44.10950155800674,25.942353689984884,120,False,non-pareto
798,6,0,0,0,1,-1,1,0,0,0,0,-1,0,43.58722285396652,28.395995150029194,211,False,non-pareto
799,5,-1,0,1,1,0,1,-1,0,1,0,1,0,41.49254880298395,25.10189274000004,210,False,non-pareto
800,6,1,0,1,1,0,1,-1,0,0,-1,1,0,41.728775540948845,25.110215155000333,210,False,non-pareto
807,6,0,2,1,0,-1,1,-1,0,0,0,1,1,88.22014533198671,4.379253404040355,233,False,non-pareto
810,2,1,0,0,0,-1,-1,0,-1,1,0,-1,1,39.97477227501804,29.3558866159874,149,False,non-pareto
811,2,0,0,1,0,-1,1,-1,-1,0,-1,1,0,39.20435370202176,25.534938345022965,146,False,non-pareto
812,3,0,0,1,0,-1,1,-1,-1,1,-1,1,1,41.32557497499511,25.69899278401863,164,False,non-pareto
814,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,40.03965213696938,26.006177442031913,165,False,non-pareto
815,2,1,0,1,1,0,1,-1,0,0,-1,1,0,38.3311823940021,25.597167355997954,144,True,pareto
819,3,1,-1,0,0,-1,-1,0,-1,-1,-1,-1,1,40.148681533988565,28.295680370007176,165,False,non-pareto
828,4,-1,-1,1,0,0,1,-1,0,0,0,1,0,41.31040735298302,25.23489345202688,205,False,non-pareto
829,2,1,-1,1,0,-1,-1,-1,-1,0,0,-1,1,39.88538701995276,26.049554336001165,150,False,non-pareto
830,1,-1,-1,1,1,-1,1,0,0,0,0,1,0,39.697279739018995,25.64117370598251,126,True,pareto
831,5,1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,43.52193080500001,25.70698876300594,221,False,non-pareto
833,6,1,-1,-1,0,0,-1,-1,-1,-1,0,-1,1,43.92726062395377,25.75970569299534,222,False,non-pareto
834,2,1,0,0,0,0,-1,-1,-1,0,0,-1,1,39.93128709105076,28.57029285101453,150,False,non-pareto
840,0,1,0,0,0,0,-1,-1,-1,1,0,-1,1,46.953606496041175,29.20421075297054,123,False,non-pareto
842,3,1,0,1,-1,-1,1,0,0,0,-1,1,-1,40.26828735903837,26.05054576799739,165,False,non-pareto
843,6,1,-1,1,0,0,1,-1,-1,-1,0,1,1,43.47161440097261,25.76363217603648,222,False,non-pareto
844,2,1,-1,-1,0,0,-1,0,-1,1,0,-1,1,39.47812005301239,26.381607845018152,149,False,non-pareto
846,1,1,-1,1,1,0,1,-1,-1,1,0,1,0,39.808955006999895,26.01605432498036,125,True,pareto
847,1,0,-1,1,1,0,1,-1,0,0,-1,1,0,40.459181914979126,25.57105093699647,126,True,pareto
849,1,0,0,1,1,-1,1,-1,0,1,0,1,0,40.42884544696426,26.199866031995043,125,True,pareto
850,-1,0,0,1,0,-1,1,-1,0,1,0,1,-1,41.21048432798125,26.076096122036688,164,False,non-pareto
851,5,-1,0,1,-1,-1,1,-1,0,0,0,1,1,43.666844203020446,25.91433835797943,222,False,non-pareto
854,4,1,0,0,0,-1,-1,0,-1,1,-1,-1,1,42.85679934301879,27.977769060002174,207,False,non-pareto
857,3,0,0,1,-1,-1,1,-1,-1,1,-1,1,0,39.135644374007825,25.266813231050037,157,False,non-pareto
858,0,1,-1,1,0,0,-1,0,-1,-1,0,-1,1,46.44815190404188,26.45046263898257,124,False,non-pareto
859,5,1,0,1,-1,-1,1,-1,-1,1,0,1,0,41.89209292596206,25.23523168300744,210,False,non-pareto
861,5,1,0,1,-1,-1,1,-1,-1,1,-1,1,1,43.312009265006054,25.606918069999665,221,False,non-pareto
862,3,-1,0,1,0,-1,1,-1,-1,0,0,1,0,38.5662829040084,25.7348829919938,161,False,non-pareto
863,-1,1,0,1,1,0,1,-1,0,0,-1,1,0,38.48946111503756,25.45251457998529,158,False,non-pareto
864,3,0,-1,1,0,-1,1,0,-1,1,0,1,1,41.343502556032035,25.815029487013817,164,False,non-pareto
865,4,-1,0,1,0,-1,1,-1,-1,-1,0,1,0,41.45164595200913,25.502782151976135,205,False,non-pareto
869,2,1,-1,1,0,-1,-1,0,-1,-1,0,-1,1,39.58254560595378,25.9893212520401,150,False,non-pareto
870,6,1,1,1,0,-1,1,-1,-1,0,-1,1,1,69.50311356899329,12.177368845965248,205,False,non-pareto
871,1,-1,-1,1,0,-1,1,-1,-1,1,-1,1,0,39.10480032797204,25.54276049102191,126,True,pareto
872,3,-1,0,1,0,-1,1,-1,0,1,0,1,0,38.34067047998542,26.037131257995497,160,False,non-pareto
875,0,1,-1,1,0,0,-1,-1,-1,0,0,-1,1,46.6610126629821,26.249122164968867,124,False,non-pareto
878,2,1,-1,1,-1,-1,1,-1,0,1,0,1,1,39.56113211502088,26.43769183801487,149,False,non-pareto
879,3,1,3,1,1,-1,1,-1,-1,1,-1,1,0,75.17761558800703,4.358245005016215,179,False,non-pareto
880,5,0,-1,-1,0,-1,1,-1,-1,1,0,1,0,43.01870919496287,25.46649494196754,218,False,non-pareto
881,3,1,0,-1,0,0,1,-1,0,-1,0,1,-1,40.04193988296902,26.08424421295058,165,False,non-pareto
882,3,1,2,0,1,-1,1,0,-1,-1,0,1,0,73.93379767501028,4.354698979004752,180,False,non-pareto
883,3,0,2,1,1,-1,1,0,0,1,-1,1,0,75.57710572698852,4.383353629964404,180,False,non-pareto
884,3,1,3,1,1,0,1,-1,0,1,-1,1,0,74.49701906403061,4.361453132005408,179,False,non-pareto
885,6,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,43.61860157200135,25.52718078403268,222,False,non-pareto
886,5,-1,5,1,1,-1,1,-1,-1,1,0,1,0,57.89574532699771,4.33357487997273,167,True,pareto
887,4,0,-1,1,1,0,1,-1,-1,1,0,1,0,42.25813468999695,25.57306518801488,199,False,non-pareto
888,6,0,1,1,1,0,1,-1,-1,1,-1,1,0,66.44158555194736,12.046332489990164,196,False,non-pareto
889,6,1,1,1,1,0,1,0,0,-1,0,1,0,62.79797643102938,12.082734535972122,196,False,non-pareto
890,6,0,3,1,1,-1,1,0,-1,-1,0,1,0,79.78537331701955,4.390435433015227,214,False,non-pareto
891,4,-1,1,1,1,0,1,0,-1,0,0,1,0,63.93263879197184,12.131830515048932,194,False,non-pareto
892,3,0,4,1,1,-1,1,-1,-1,0,0,1,0,60.624426060996484,4.391147315967828,153,False,non-pareto
893,3,-1,3,1,1,-1,1,0,0,0,0,1,0,76.59155043499777,4.33350392698776,180,False,non-pareto
894,5,-1,0,1,1,0,1,0,-1,1,-1,1,0,41.44942280900432,25.206905107945204,210,False,non-pareto
895,5,0,4,1,1,-1,1,0,-1,-1,-1,1,0,63.890299975988455,4.378582477045711,180,False,non-pareto
896,3,0,-1,1,1,-1,1,-1,-1,1,0,1,0,39.39051522896625,26.107424376008566,157,False,non-pareto
898,3,-1,5,-1,1,-1,1,-1,0,1,-1,1,0,55.56979554297868,4.3523016379913315,139,True,pareto
899,4,-1,1,1,1,-1,1,0,-1,0,-1,1,0,64.1857562920195,12.043977636960335,194,False,non-pareto
900,6,0,0,-1,-1,-1,1,-1,0,1,0,1,-1,45.06929892703192,26.063834026979748,221,False,non-pareto
901,5,0,3,1,1,0,1,0,-1,1,-1,1,0,80.4389980629785,4.445441032992676,214,False,non-pareto
902,2,0,-1,0,1,-1,1,0,0,0,-1,1,0,39.301151530002244,28.22546461998718,144,False,non-pareto
903,3,-1,4,0,1,-1,1,0,-1,1,-1,1,0,58.94099124701461,4.378916833025869,152,False,non-pareto
904,5,0,1,1,1,-1,1,0,0,1,0,1,0,65.62507634999929,12.067037012020592,196,False,non-pareto
905,6,0,0,1,1,-1,1,-1,0,-1,-1,1,0,43.52204254898243,25.145326539990492,210,False,non-pareto
906,5,-1,0,-1,-1,0,1,-1,-1,0,-1,1,-1,43.941680408024695,25.57299257797422,222,False,non-pareto
908,3,-1,1,1,1,-1,1,0,-1,-1,-1,1,0,60.962870404007845,12.393659535970073,166,False,non-pareto
909,6,-1,0,-1,-1,-1,1,-1,0,0,-1,1,0,41.71139931498328,25.134062128025107,210,False,non-pareto
910,3,1,3,1,1,0,1,-1,0,1,0,1,0,75.1662779719918,4.3412692869897,180,False,non-pareto
911,5,1,-1,1,1,0,1,0,0,-1,0,1,0,41.76794740802143,25.20025935600279,210,False,non-pareto
912,1,-1,-1,-1,-1,0,1,-1,-1,-1,0,1,0,39.59682857000735,25.46481880795909,126,True,pareto
915,4,0,3,1,1,-1,1,0,0,0,-1,1,0,80.75526356801856,4.405396724992897,208,False,non-pareto
916,6,0,3,1,1,-1,1,0,-1,-1,-1,1,0,79.77141628199024,4.4352813749574125,214,False,non-pareto
917,3,-1,3,1,1,-1,1,-1,0,1,0,1,0,76.82822612900054,4.317956535029225,180,True,pareto
918,6,0,3,1,1,-1,1,0,-1,0,-1,1,0,81.09091939602513,4.376485821034294,215,False,non-pareto
919,6,1,2,1,1,0,1,-1,0,0,0,1,0,77.90758032299345,4.4912904420052655,215,False,non-pareto
920,5,1,0,1,1,0,1,-1,0,-1,-1,1,0,41.9249841409619,25.27227579796454,210,False,non-pareto
921,3,0,-1,0,1,0,1,0,-1,0,-1,1,0,40.1291614100337,27.95266010100022,158,False,non-pareto
922,6,0,0,-1,-1,0,1,-1,-1,0,-1,1,0,42.781561890034936,25.38225409097504,210,False,non-pareto
923,5,1,0,1,1,-1,1,0,-1,1,-1,1,0,41.38420605898136,24.92370085901348,210,True,pareto
924,3,0,0,-1,1,0,1,0,0,1,0,1,0,39.733897648984566,25.83514176798053,157,False,non-pareto
925,3,-1,-1,-1,-1,0,1,-1,0,-1,0,1,-1,40.53791034198366,25.902326894982252,165,False,non-pareto
926,5,1,0,-1,-1,0,1,0,-1,0,-1,1,-1,43.43875270796707,25.584935626015067,222,False,non-pareto
927,6,1,0,0,1,0,1,-1,-1,0,-1,1,0,41.48618741799146,28.207929260039236,211,False,non-pareto
929,3,-1,1,1,1,-1,1,0,0,-1,-1,1,0,60.383671753981616,12.200699655048084,166,False,non-pareto
930,6,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,0,41.66795957199065,25.33284776104847,210,False,non-pareto
931,4,-1,0,1,1,-1,1,-1,0,-1,-1,1,0,41.108351259026676,25.250271674012765,199,False,non-pareto
932,4,-1,5,-1,1,-1,1,0,0,1,0,1,0,56.70536471402738,4.517821722023655,164,False,non-pareto
933,4,0,4,1,1,-1,1,0,-1,1,-1,1,0,63.253290572960395,4.351795336988289,178,False,non-pareto
934,1,1,2,-1,0,0,1,-1,-1,-1,-1,1,1,97.27719643199816,4.448565027967561,162,False,non-pareto
935,5,0,0,1,1,0,1,0,0,1,-1,1,0,43.156985981040634,24.976530137995724,210,True,pareto
936,6,-1,2,0,1,-1,1,0,-1,-1,-1,1,0,76.47421878599562,4.364316797989886,215,False,non-pareto
937,3,-1,-1,1,1,0,1,0,0,1,-1,1,0,38.28684172598878,25.460285402019508,157,False,non-pareto
938,6,-1,3,0,1,-1,1,0,-1,1,-1,1,0,77.96519132901449,4.365311173023656,214,False,non-pareto
939,3,1,-1,-1,0,-1,1,0,-1,-1,-1,1,-1,40.50898500200128,25.90032745699864,165,False,non-pareto
940,2,0,3,-1,1,-1,1,0,-1,1,0,1,0,77.69684220396448,4.471022279991303,167,False,non-pareto
941,5,1,3,1,1,0,1,0,0,0,-1,1,0,77.36009988596197,4.352792424033396,215,False,non-pareto
942,5,1,2,1,1,0,1,-1,-1,1,0,1,0,75.65137412399054,4.3340496480232105,215,False,non-pareto
943,6,0,-1,-1,0,0,1,0,0,1,-1,1,0,43.528760618995875,24.971313841000665,218,False,non-pareto
944,6,-1,0,1,1,-1,1,0,-1,-1,0,1,0,42.004194006032776,25.407646337989718,210,False,non-pareto
945,5,0,3,1,1,-1,1,0,-1,1,-1,1,0,78.9080650319811,4.377528774959501,214,False,non-pareto
946,5,0,-1,-1,-1,0,1,0,0,1,-1,1,0,42.84798016503919,25.01080184901366,210,False,non-pareto
947,5,-1,4,1,1,0,1,0,0,1,0,1,0,61.84542476001661,4.371147851052228,180,False,non-pareto
949,6,-1,-1,-1,-1,0,1,-1,-1,0,0,1,0,41.9580110310344,25.798763126018457,210,False,non-pareto
950,4,0,5,1,1,-1,1,0,-1,1,0,1,0,57.9572511719889,4.346791454998311,164,True,pareto
951,6,0,0,0,1,0,1,0,0,0,-1,1,0,43.33568768197438,28.02514094504295,211,False,non-pareto
954,5,-1,-1,-1,0,0,1,0,-1,1,0,1,1,43.60582461999729,25.89377596101258,221,False,non-pareto
955,6,0,0,-1,0,-1,1,-1,-1,0,-1,1,1,45.39483061700594,25.593514978012536,222,False,non-pareto
956,6,1,2,1,1,-1,1,0,0,-1,0,1,0,79.25812562304782,4.362095679040067,215,False,non-pareto
957,5,-1,3,1,1,-1,1,0,-1,1,-1,1,0,77.93795766099356,4.439129568985663,214,False,non-pareto
958,3,1,-1,1,1,-1,1,-1,-1,1,-1,1,0,38.623886801011395,25.062428799981717,157,True,pareto
960,3,-1,3,0,0,-1,-1,0,0,-1,-1,1,-1,115.68208990403218,4.388019193022046,234,False,non-pareto
961,5,-1,4,1,1,-1,1,0,0,1,-1,1,0,61.11341584898764,4.404467921005562,180,False,non-pareto
962,3,1,1,0,1,-1,1,0,0,0,-1,1,0,63.34352218097774,12.921283750969451,168,False,non-pareto
963,-1,0,3,-1,1,-1,1,0,-1,0,-1,1,0,77.2842776250327,4.3398205830017105,180,False,non-pareto
964,6,1,4,1,1,-1,1,0,-1,-1,-1,1,0,62.5737846789998,4.471533274976537,180,False,non-pareto
965,5,0,0,-1,0,0,1,-1,0,1,-1,1,1,45.67231376998825,25.695094973023515,221,False,non-pareto
966,5,1,0,1,1,0,1,0,-1,1,0,1,0,41.30792933498742,25.33279875398148,210,False,non-pareto
967,3,0,1,1,1,-1,1,-1,0,0,-1,1,0,62.61836476397002,12.30085895297816,166,False,non-pareto
968,5,0,4,1,1,-1,1,0,-1,0,0,1,0,63.528007609013,4.401269739028066,181,False,non-pareto
969,5,-1,3,1,1,-1,1,0,0,-1,0,1,0,76.42408715799684,4.368379547027871,214,False,non-pareto
970,5,-1,0,-1,0,-1,1,0,0,1,-1,1,-1,43.86576460400829,25.589077204000205,221,False,non-pareto
971,5,1,3,1,1,0,1,-1,0,1,0,1,0,77.15887847798876,4.414619912044145,214,False,non-pareto
972,5,1,2,1,1,0,1,-1,0,0,0,1,0,77.36413556401385,4.360885325004347,215,False,non-pareto
973,4,-1,0,1,1,0,1,0,0,1,-1,1,0,41.237306117021944,25.112727809988428,199,False,non-pareto
974,6,-1,4,0,1,-1,1,0,-1,1,-1,1,0,60.64358696801355,4.421540397044737,181,False,non-pareto
975,3,0,4,0,1,0,1,0,-1,1,0,1,0,60.64881767902989,4.5622855489491485,152,False,non-pareto
976,3,1,5,1,1,-1,1,0,-1,0,-1,1,0,56.19426903600106,4.421138298988808,139,True,pareto
979,-1,0,0,-1,-1,-1,1,-1,-1,-1,-1,1,0,39.55874287598999,25.403227736998815,158,False,non-pareto
981,3,-1,0,1,1,-1,1,-1,-1,-1,-1,1,0,38.51663577003637,25.17092738201609,157,True,pareto
982,2,1,2,1,1,-1,1,-1,0,1,0,1,0,73.96000948699657,4.347319654014427,167,False,non-pareto
983,4,1,0,1,1,-1,1,-1,-1,1,0,1,0,40.862548828998115,25.808093447005376,199,False,non-pareto
984,5,1,1,1,1,-1,1,0,-1,1,-1,1,0,63.27036482200492,12.032163196010515,196,False,non-pareto
985,5,0,0,-1,0,0,1,0,-1,1,-1,1,1,45.11455544998171,25.822097851953004,221,False,non-pareto
986,6,1,1,1,1,-1,1,0,0,1,-1,1,0,64.43885982199572,11.951927819987759,196,False,non-pareto
987,5,0,2,1,1,0,1,-1,0,1,0,1,0,79.6041944900062,4.4106592439929955,215,False,non-pareto
988,4,0,-1,0,1,0,1,0,0,1,0,1,0,42.592173890036065,28.17426122899633,199,False,non-pareto
989,5,-1,0,-1,0,0,1,0,0,1,0,1,-1,43.58601241995348,25.897555399977136,221,False,non-pareto
990,5,0,0,-1,-1,-1,1,-1,0,0,-1,1,1,45.24478489800822,25.673212659021374,222,False,non-pareto
991,0,0,3,0,1,-1,1,0,-1,1,0,1,0,134.24583753600018,4.385621570982039,150,False,non-pareto
992,6,-1,0,0,1,0,1,0,0,1,0,1,0,41.80234248301713,27.665941736020613,210,False,non-pareto
993,6,0,0,-1,0,-1,-1,-1,0,0,0,1,0,43.50845023995498,25.266210914007388,218,False,non-pareto
994,5,0,-1,1,1,-1,1,0,0,0,-1,1,0,43.11619794199942,25.14931756304577,210,False,non-pareto
996,3,1,-1,0,-1,-1,1,-1,-1,-1,0,1,1,41.33635455899639,28.379954072006512,165,False,non-pareto
997,4,1,0,1,1,0,1,0,-1,-1,0,1,0,41.020254216040485,25.425223650003318,199,False,non-pareto
998,5,-1,0,0,1,-1,1,0,0,1,-1,1,0,42.06097927398514,27.812059459043667,210,False,non-pareto
999,5,1,3,1,1,0,1,-1,0,-1,0,1,0,77.49624611699255,4.329530865012202,214,False,non-pareto
0,,,,,,,,,,,,,,41.39,26.82,165,True,cargo debug
1,,,,,,,,,,,,,,70.05,4.35,16,True,cargo release
